"image","xmin","ymin","xmax","ymax","label"
"23903524000.jpg",436.1755485893414,238.1191222570532,598.6833855799372,343.6363636363636,"inside_plate"
"23903524000.jpg",85.20376175548586,231.91222570532906,273.103448275862,353.7931034482758,"outside_plate"
"84362203700.jpg",457.0532915360501,528.7147335423197,543.385579937304,688.4012539184952,"outside_plate"
"84362203700.jpg",45.705329153605014,503.32288401253913,136.55172413793102,642.6959247648902,"inside_plate"
"27748582800.jpg",89.71786833855799,187.33542319749213,270.282131661442,392.1630094043887,"outside_plate"
"27748582800.jpg",374.10658307210025,183.38557993730404,532.1003134796238,353.7931034482758,"inside_plate"
"56692174400.jpg",77.86833855799372,384.2633228840125,262.3824451410658,600.9404388714734,"inside_plate"
"56692174400.jpg",475.1097178683385,371.2852664576802,675.9874608150469,618.9968652037617,"outside_plate"
"68974838000.jpg",129.78056426332287,206.52037617554856,286.08150470219437,379.74921630094036,"outside_plate"
"68974838000.jpg",371.84952978056424,215.54858934169278,515.7366771159874,366.20689655172407,"inside_plate"
"111522528100.jpg",25.956112852664575,404.0125391849529,249.40438871473353,676.5517241379309,"outside_plate"
"111522528100.jpg",503.88714733542315,381.44200626959247,712.1003134796238,630.282131661442,"inside_plate"
"33426201200.jpg",150.65830721003132,369.5924764890282,321.06583072100307,569.9059561128527,"inside_plate"
"33426201200.jpg",526.4576802507836,325.5799373040752,707.5862068965516,549.0282131661442,"outside_plate"
"104075554600.jpg",97.61755485893416,166.45768025078368,257.3040752351097,356.0501567398119,"outside_plate"
"104075554600.jpg",410.7836990595611,185.6426332288401,559.1849529780563,354.92163009404385,"inside_plate"
"62246170600.jpg",409.09090909090907,514.0438871473353,635.360501567398,719.9999999999999,"outside_plate"
"62246170600.jpg",173.79310344827584,486.95924764890276,376.92789968652033,703.6363636363635,"inside_plate"
"101542069200.jpg",446.3322884012539,116.23824451410657,663.5736677115987,364.5141065830721,"outside_plate"
"101542069200.jpg",112.8526645768025,163.63636363636363,308.0877742946708,375.23510971786834,"inside_plate"
"104097349400.jpg",97.61755485893416,432.7899686520376,255.61128526645763,617.8683385579936,"outside_plate"
"104097349400.jpg",409.09090909090907,405.70532915360496,559.1849529780563,574.4200626959247,"inside_plate"
"59074643400.jpg",150.0940438871473,547.8996865203761,283.8244514106583,644.3887147335422,"inside_plate"
"59074643400.jpg",569.3416927899686,535.4858934169279,712.1003134796238,649.4670846394984,"outside_plate"
"11081546900.jpg",328.4012539184953,119.62382445141064,470.0313479623824,266.3322884012539,"inside_plate"
"11081546900.jpg",490.9090909090909,107.77429467084639,659.0595611285266,282.13166144200625,"outside_plate"
"108303776800.jpg",21.442006269592476,276.48902821316614,146.70846394984324,377.49216300940435,"outside_plate"
"108303776800.jpg",432.2257053291536,313.16614420062695,546.7711598746081,398.3699059561128,"inside_plate"
"35595751400.jpg",72.78996865203762,123.57366771159873,236.99059561128524,318.80877742946706,"outside_plate"
"35595751400.jpg",438.4326018808777,219.49843260188086,595.2978056426332,401.1912225705329,"inside_plate"
"58709422900.jpg",11.28526645768025,0.5642633228840125,196.92789968652036,214.42006269592474,"outside_plate"
"58709422900.jpg",363.94984326018806,12.978056426332287,540.564263322884,213.2915360501567,"inside_plate"
"90680824000.jpg",581.7554858934169,202.57053291536047,706.4576802507837,376.3636363636363,"outside_plate"
"90680824000.jpg",191.84952978056424,329.5297805642633,314.858934169279,475.67398119122254,"inside_plate"
"55675375200.jpg",45.705329153605014,129.78056426332287,147.27272727272725,225.141065830721,"outside_plate"
"55675375200.jpg",451.41065830721,200.31347962382443,554.1065830721003,281.0031347962382,"inside_plate"
"71203547500.jpg",21.442006269592476,376.92789968652033,238.68338557993727,629.717868338558,"outside_plate"
"71203547500.jpg",420.9404388714733,424.8902821316614,622.9467084639498,655.6739811912225,"inside_plate"
"83101962400.jpg",64.89028213166144,415.2978056426332,289.4670846394984,675.4231974921629,"outside_plate"
"83101962400.jpg",423.7617554858934,414.7335423197492,629.717868338558,635.9247648902821,"inside_plate"
"25835192800.jpg",560.8777429467084,344.20062695924764,677.680250783699,448.02507836990594,"outside_plate"
"25835192800.jpg",134.29467084639498,305.26645768025077,244.89028213166142,397.8056426332288,"inside_plate"
"52565971300.jpg",120.18808777429466,427.14733542319743,307.5235109717868,624.0752351097178,"outside_plate"
"52565971300.jpg",316.551724137931,476.23824451410655,476.80250783699057,639.8746081504702,"inside_plate"
"94128703900.jpg",511.78683385579933,78.99686520376174,647.7742946708463,187.33542319749216,"outside_plate"
"94128703900.jpg",121.31661442006268,58.119122257053284,253.9184952978056,148.40125391849529,"inside_plate"
"108254987600.jpg",16.927899686520373,292.85266457680245,128.65203761755484,391.59874608150466,"outside_plate"
"108254987600.jpg",413.0407523510971,356.6144200626959,540.5642633228839,440.12539184952976,"inside_plate"
"9773043000.jpg",81.81818181818181,416.99059561128524,194.1065830721003,578.3699059561128,"outside_plate"
"9773043000.jpg",455.3605015673981,353.2288401253918,564.2633228840125,501.6300940438871,"inside_plate"
"61182164100.jpg",0,382.57053291536045,173.79310344827584,609.9686520376175,"outside_plate"
"61182164100.jpg",333.4796238244514,413.60501567398114,524.7648902821315,622.9467084639498,"inside_plate"
"56678716900.jpg",5.642633228840125,404.57680250783693,234.73354231974918,673.1661442006268,"outside_plate"
"56678716900.jpg",482.4451410658307,423.1974921630094,692.9153605015673,671.4733542319749,"inside_plate"
"79043588500.jpg",100.43887147335423,131.47335423197492,203.13479623824452,218.36990595611286,"outside_plate"
"79043588500.jpg",436.17554858934164,223.44827586206895,534.9216300940438,295.1097178683385,"inside_plate"
"59992809100.jpg",67.71159874608149,280.4388714733542,266.8965517241379,497.115987460815,"outside_plate"
"59992809100.jpg",313.16614420062695,305.8307210031348,489.78056426332284,492.60188087774293,"inside_plate"
"11088012600.jpg",109.46708463949842,0,279.8746081504702,161.94357366771158,"outside_plate"
"11088012600.jpg",284.95297805642633,50.78369905956112,429.9686520376175,197.49216300940435,"inside_plate"
"12253951300.jpg",62.068965517241374,38.93416927899686,204.8275862068965,200.31347962382443,"outside_plate"
"12253951300.jpg",314.294670846395,53.04075235109717,445.20376175548586,198.05642633228837,"inside_plate"
"100242802400.jpg",132.0376175548589,334.6081504702194,291.7241379310344,523.6363636363636,"inside_plate"
"100242802400.jpg",505.0156739811912,370.1567398119122,673.7304075235108,581.1912225705329,"outside_plate"
"115783959700.jpg",574.9843260188087,432.2257053291536,678.244514106583,577.2413793103448,"outside_plate"
